,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.14218E+14,D-20-28 11DAA,,,,,STANDARD,1292,6.62,STOCK,12/30/1947,31.705,109.447222
FALSE,3.14228E+14,D-20-28 11ADB,642406,750,4420,1/1/1947,STANDARD,1063,6,STOCK,1/1/1947,31.707778,109.449444
FALSE,3.14332E+14,D-20-29 04AA,,,,,STANDARD,,,STOCK,,31.725556,109.38
FALSE,3.15047E+14,D-18-27 25AAA,617994,250.8,4402.2,11/29/2005,STANDARD,380,12,IRRIGATION,8/5/1961,31.846333,109.541694
FALSE,3.15052E+14,D-18-29 19DDC1,,6.17,5278.83,12/1/1994,STANDARD,10,48,STOCK,,31.847778,109.426389
FALSE,3.15104E+14,D-18-29 19DAD,806524,10.7,5311.3,12/1/2005,STANDARD,30,48,DOMESTIC,,31.851111,109.423333
FALSE,3.15104E+14,D-18-28 17CBA1,,339.9,4390.1,1/14/1976,STANDARD,,,UNUSED,,31.867778,109.521111
FALSE,3.15151E+14,D-18-28 16DDA,,498.7,4386.3,1/28/2021,STANDARD,,,UNUSED,,31.864333,109.491278
FALSE,3.15201E+14,D-18-27 16DAA,610449,171.38,4298.02,2/7/1966,STANDARD,225,6,DOMESTIC,,31.866944,109.593056
FALSE,3.15214E+14,D-18-27 14BDB,520836,,,,STANDARD,377,8,DOMESTIC,5/30/1988,31.870556,109.570278
FALSE,3.15217E+14,D-18-28 16BDB,650774,,,,STANDARD,500,8,DOMESTIC,,31.871389,109.501389
FALSE,3.1523E+14,D-18-26 14AAA,627851,243.4,4091.6,12/2/2005,STANDARD,212,8,STOCK,,31.876,109.660972
FALSE,3.15235E+14,D-18-27 08CCC,610085,131.89,4258.11,2/7/1966,STANDARD,331,,IRRIGATION,,31.876389,109.625556
FALSE,3.15235E+14,D-18-27 07CCD,806791,155,4210,7/1/1971,STANDARD,325,8,DOMESTIC,7/1/1971,31.876389,109.640278
FALSE,3.1525E+14,D-18-27 07CAC,,111,4256,4/1/1961,STANDARD,351.5,14,IRRIGATION,4/1/1961,31.880556,109.642222
FALSE,3.15303E+14,D-18-27 09ACC,508593,230,4220,1/13/2025,STANDARD,341,8.63,IRRIGATION,7/12/1984,31.884167,109.599167
FALSE,3.15309E+14,D-18-27 07BCB,,160,4198,6/1/1972,STANDARD,288,8,UNDETERMINED,6/1/1972,31.885833,109.643611
FALSE,3.15313E+14,D-18-27 07BDB2,,234.9,4135.1,11/29/2005,STANDARD,,,DOMESTIC,,31.886944,109.637361
FALSE,3.15316E+14,D-18-27 07BAD,,109.61,4260.39,2/7/1966,STANDARD,353,14,UNUSED,4/1/1961,31.887778,109.636111
FALSE,3.15319E+14,D-18-27 07BAC,,,,,STANDARD,353,12,UNUSED,4/1/1961,31.888611,109.6375
FALSE,3.15335E+14,D-18-26 01CDA,,,,,STANDARD,327,8,DOMESTIC,1/1/1974,31.893056,109.653333
FALSE,3.15336E+14,D-18-28 02DDB,627465,649.2,4390.8,1/24/1990,STANDARD,900,5,DOMESTIC,3/1/1976,31.893333,109.46
FALSE,3.15353E+14,D-18-25 05ACC,,,,,STANDARD,,,STOCK,,31.898056,109.821111
FALSE,3.15408E+14,D-18-25 05BDA,602503,313.1,4097.9,1/18/1990,STANDARD,511,8,PUBLIC SUPPLY,,31.901222,109.823222
FALSE,3.15409E+14,D-18-28 01ABC,607564,5.32,5129.68,1/8/2015,STANDARD,80,6,STOCK,1/1/1915,31.902528,109.44625
FALSE,3.15413E+14,D-18-26 02AAA,627833,294.8,4037.9,12/10/2014,STANDARD,903,16,UNUSED,2/2/1966,31.903694,109.660778
FALSE,3.15414E+14,D-18-27 03AAA,,173.95,4324.05,8/24/1951,STANDARD,,6,STOCK,,31.903889,109.576389
FALSE,3.15428E+14,D-17-27 31DCA,618484,249,4123,12/7/2005,STANDARD,560,,IRRIGATION,,31.907944,109.631222
FALSE,3.1544E+14,D-17-27 33DAA,627827,249.4,4200.6,11/29/2005,STANDARD,1005,16,UNUSED,6/17/1966,31.91175,109.593
FALSE,3.15456E+14,D-17-27 33BDA,627825,211.8,4218.2,1/17/1990,STANDARD,700,16,UNUSED,10/15/1966,31.915833,109.601389
FALSE,3.1551E+14,D-17-27 32AAA,627820,216.1,4194.9,11/29/1994,STANDARD,1167,16,UNUSED,6/10/1966,31.918111,109.609778
FALSE,3.15511E+14,D-17-24 28DCD,629334,452,4188,5/1/1963,STANDARD,550,6,PUBLIC SUPPLY,5/1/1963,31.919722,109.903333
FALSE,3.15528E+14,D-17-27 30CAD,620667,253.8,4108.2,11/30/2005,STANDARD,500,16,IRRIGATION,3/4/1966,31.925139,109.635556
FALSE,3.15531E+14,D-17-27 29DAA,627819,342.7,4064.3,1/27/2021,STANDARD,660,16,IRRIGATION,7/1/1968,31.925361,109.609778
FALSE,3.15533E+14,D-17-23 25CBA,801096,,,,STANDARD,150,,DOMESTIC,,31.925833,109.9625
FALSE,3.15538E+14,D-17-25 30BCD,625157,220,4176,8/5/1961,STANDARD,505,16,IRRIGATION,8/5/1961,31.927222,109.843056
FALSE,3.15543E+14,D-17-26 30BCD,,56.16,4192.84,12/3/1959,STANDARD,151,6,STOCK,,31.928611,109.741944
FALSE,3.15559E+14,D-17-27 28AAA,627814,256.8,4195.2,11/29/2005,STANDARD,1155,16,IRRIGATION,4/24/1965,31.934111,109.592806
FALSE,3.15607E+14,D-17-25 19CDD,603878,356,3992,1/20/2021,STANDARD,500,,UNUSED,,31.935278,109.838972
FALSE,3.1563E+14,D-17-27 22ADC,,259.2,4237.8,12/6/2005,STANDARD,,16,UNUSED,,31.941639,109.578472
FALSE,3.15631E+14,D-17-27 19BDD,,120,4248,6/16/1965,STANDARD,502,16,IRRIGATION,6/16/1965,31.942222,109.635556
FALSE,3.15638E+14,D-17-23 24ACB,,,,,STANDARD,25,,DOMESTIC,,31.943889,109.956111
FALSE,3.15643E+14,D-17-27 19AAD,622868,314.9,4065.1,12/16/2014,STANDARD,650,14,UNUSED,5/10/1969,31.945278,109.626972
FALSE,3.15657E+14,D-17-27 17DCC2,608638,221.1,4180.9,1/15/1990,STANDARD,800,8,STOCK,,31.949167,109.617222
