,Site ID,Local ID,Reg. ID,DTW (ft),WL Elev (ft amsl),WL Date,Data Type,Well Depth (ft),Case Dia (in),Water Use,Drill Date,latitude,longitude
FALSE,3.51013E+14,B-21-15 26CAD1,,13.1,4468.9,12/2/1980,STANDARD,,,UNUSED,,35.170528,113.845722
FALSE,3.51552E+14,B-22-16 28BDA2,504272,531,2771,1/30/2024,STANDARD,1006,18,PUBLIC SUPPLY,12/3/1982,35.264306,113.985167
FALSE,3.52253E+14,B-23-16 15BDB,,543.7,2751.3,2/9/2018,STANDARD,840,10,UNUSED,1/1/1965,35.380472,113.970389
FALSE,3.52818E+14,B-24-15 18BBB,525378,452.4,2505.6,2/12/1991,STANDARD,2300,8.62,UNUSED,10/5/1989,35.471167,113.921556
FALSE,3.52935E+14,B-24-16 05CBB,223098,447.1,2487.9,3/28/2023,STANDARD,1006,24,IRRIGATION,10/10/2014,35.493139,114.01075
FALSE,3.5364E+14,B-26-17 29DBB,916651,526,2494,3/30/2023,STANDARD,654,24,UNUSED,11/15/2014,35.611167,114.121917
FALSE,3.53705E+14,B-26-16 29BBB,600494,280.4,2497.6,3/30/2023,STANDARD,655,16,UNUSED,12/5/1979,35.617889,114.023778
FALSE,3.53847E+14,B-26-18 17ABA,801891,,,,STANDARD,691,4,DOMESTIC,,35.646389,114.226667
FALSE,3.55459E+14,B-29-18 11CAA,904437,,,,STANDARD,,8.62,UNUSED,,35.916332,114.185611
FALSE,3.51658E+14,B-22-15 19BBB,234281,620.2,2744.8,3/23/2023,STANDARD,1460,30,IRRIGATION,1/29/2022,35.282695,113.921944
FALSE,3.52424E+14,B-23-14 03ADC,624982,480.1,2947.9,2/27/2018,STANDARD,487,16,UNUSED,11/1/1943,35.406722,113.748056
FALSE,3.52518E+14,B-24-15 31ADD,224458,,,,STANDARD,520,24,UNUSED,10/2/2014,35.421639,113.905222
FALSE,3.53456E+14,B-25-17 03CAA,916654,,,,STANDARD,950,24,IRRIGATION,11/12/2014,35.582306,114.086944
FALSE,3.51817E+14,B-22-16E07DAA,624996,698.4,2757,11/8/1995,STANDARD,1000,16,PUBLIC SUPPLY,10/1/1977,35.304722,114.011389
FALSE,3.52206E+14,B-23-14 24BAB1,,90.8,3471.2,2/27/2018,STANDARD,290,20,DOMESTIC,1/1/1962,35.369888,113.723999
FALSE,3.53536E+14,B-26-19 36ACA,520733,455.2,3046.8,6/22/2006,STANDARD,540,8,PUBLIC SUPPLY,9/16/1988,35.599639,114.260111
FALSE,3.53827E+14,B-26-17 15ACC,224164,270.2,2489.8,2/28/2018,STANDARD,820,20,UNUSED,1/18/2015,35.640861,114.087194
FALSE,3.53846E+14,B-26-16 16AAA,526081,,,,STANDARD,2502,10.75,UNUSED,10/9/1989,35.646111,113.991278
FALSE,3.54233E+14,B-27-17 19CCA1,,,,,STANDARD,,,UNUSED,,35.709167,114.145278
FALSE,3.51552E+14,B-22-16 28BDA1,502501,524,2781,1/30/2024,STANDARD,1105,1.25,UNUSED,4/11/1982,35.264446,113.984972
FALSE,3.52217E+14,B-23-14 13CCB1,627258,63,3487,5/23/1932,STANDARD,103,,UNUSED,,35.371389,113.722222
FALSE,3.52318E+14,B-23-17 15ABB1,,27.4,4343.6,2/27/1980,STANDARD,150,,UNUSED,,35.388333,114.082778
FALSE,3.52403E+14,B-23-17 08ABA,,,,,STANDARD,,,STOCK,,35.400833,114.111944
FALSE,3.52948E+14,B-24-17 02DBB,225952,,,,STANDARD,1000,8,UNUSED,5/10/2016,35.496583,114.065806
FALSE,3.53036E+14,B-25-14 35BDD,572849,148.1,3601.9,2/28/2018,STANDARD,320,7,DOMESTIC,3/17/1999,35.510083,113.74975
FALSE,3.51348E+14,B-21-17 01DDD,599952,,,,STANDARD,400,7,DOMESTIC,7/10/2003,35.229917,114.040278
FALSE,3.51358E+14,B-21-17 01CCB,612660,112.2,3447.8,3/14/2023,STANDARD,,,UNUSED,,35.233056,114.055889
FALSE,3.51623E+14,B-22-16 20CBC1,571223,666.8,2704.2,3/13/2023,STANDARD,1200,8.62,OBSERVATION,11/30/1998,35.273139,114.010167
FALSE,3.51631E+14,B-22-15 19CBB,903521,632.4,2752.6,3/23/2023,STANDARD,1508,30,IRRIGATION,1/6/2006,35.275389,113.922667
FALSE,3.51706E+14,B-22-17 22AAB1,,,,,STANDARD,,8,UNUSED,,35.287222,114.078333
FALSE,3.51752E+14,B-22-16 10DCB,231442,,,,STANDARD,1005,24,IRRIGATION,8/26/2020,35.297722,113.965
FALSE,3.53622E+14,B-26-14 30CCB,,24.4,4016.6,2/10/2006,STANDARD,100,8,UNUSED,,35.60725,113.828944
FALSE,3.51118E+14,B-21-16 24CAA1,,25.6,4016.4,12/2/1985,STANDARD,86,8,UNUSED,,35.188333,113.933056
FALSE,3.5131E+14,B-21-15 07ACA,588910,,,,STANDARD,1470,8.62,DOMESTIC,2/3/2002,35.219556,113.910278
FALSE,3.51517E+14,B-22-15 27DDC,231891,,,,STANDARD,975,30,UNUSED,5/17/2020,35.254722,113.855444
FALSE,3.52036E+14,B-23-16 28DCB,208788,,,,STANDARD,845,7,DOMESTIC,8/29/2017,35.343417,113.982611
FALSE,3.52121E+14,B-23-17 29ADA,,,,,STANDARD,,,STOCK,,35.355833,114.107222
FALSE,3.52509E+14,B-24-16 34CBD,906855,653,2515,4/27/2007,STANDARD,800,8.63,DOMESTIC,4/27/2007,35.419222,113.972667
FALSE,3.52746E+14,B-24-17 17CCC2,,,,,STANDARD,,,UNUSED,,35.462778,114.125556
FALSE,3.53734E+14,B-26-17 21ACC,223157,,,,STANDARD,565,16,IRRIGATION,8/28/2017,35.626222,114.104389
FALSE,3.54651E+14,B-28-17 29CCA,923872,,,,STANDARD,940,30,UNUSED,3/5/2020,35.780756,114.129336
FALSE,3.55017E+14,B-28-18 01CDD,212232,565.2,2142.8,8/31/2006,STANDARD,910,8.62,UNUSED,7/31/2006,35.838056,114.160944
FALSE,3.5084E+14,B-20-15 03CBB,,,,,STANDARD,,,STOCK,,35.144444,113.858889
FALSE,3.51344E+14,B-21-16 W06CBC2,587082,,,,STANDARD,680,7,DOMESTIC,6/9/2001,35.228972,114.039167
FALSE,3.52212E+14,B-23-16 17DDC,646465,98.7,3361.3,3/12/1980,STANDARD,320,6.63,DOMESTIC,3/1/1978,35.37,113.995
FALSE,3.53458E+14,B-25-17 01BCC,224163,,,,STANDARD,780,24,UNUSED,12/26/2014,35.582639,114.059889
FALSE,3.53543E+14,B-26-18 35DBA,,,,,STANDARD,,,DOMESTIC,,35.595278,114.1675
FALSE,3.53616E+14,B-26-17 27DCC,224166,323.5,2486.5,3/30/2023,STANDARD,830,20,IRRIGATION,1/17/2015,35.604556,114.087
FALSE,3.54632E+14,B-28-16 34BBD2,541954,61.6,4059.4,11/8/1995,STANDARD,133,6,UNUSED,1/3/1994,35.775556,113.986667
FALSE,3.50743E+14,B-20-15 08CAD,,,,,STANDARD,,,STOCK,,35.128611,113.888333
FALSE,3.51425E+14,B-22-16 32DDD2,591289,671.7,2708.3,3/14/2023,STANDARD,1130,30,PUBLIC SUPPLY,6/14/2002,35.240222,113.993722
FALSE,3.519E+14,B-22-17 04CDC,,8,4892,1/1/1962,STANDARD,12,,STOCK,,35.316667,114.101389
FALSE,3.538E+14,B-26-17 16DCC,223189,331.9,2478.1,2/28/2018,STANDARD,850,24,IRRIGATION,10/21/2014,35.633472,114.1045
FALSE,3.5232E+14,B-23-15 08CDA,624998,359.3,2725.7,3/29/2023,STANDARD,600,16,IRRIGATION,5/1/1964,35.387461,113.897772
FALSE,3.53724E+14,B-26-14 20DBA,,,,,STANDARD,,,STOCK,,35.623333,113.799444
FALSE,3.53924E+14,B-26-18 11ADC2,208251,,,,STANDARD,910,6.63,DOMESTIC,7/28/2005,35.656778,114.170972
FALSE,3.54035E+14,B-26-16 06AAA,534946,,,,STANDARD,2503,8.62,OTHER,5/23/1992,35.676389,114.025722
FALSE,3.54836E+14,B-28-18 13DCB,210023,533.2,2304.8,3/20/2023,STANDARD,983,8.62,UNUSED,11/25/2005,35.81,114.157389
FALSE,3.5142E+14,B-21-15 05BBB,526379,872.8,2757.2,1/10/2006,STANDARD,1320,9.62,UNUSED,1/12/1990,35.238972,113.904417
FALSE,3.51425E+14,B-22-16 33CDC,612665,657.7,2732.5,1/16/2006,STANDARD,1008,16,PUBLIC SUPPLY,1/1/1971,35.239556,113.986972
FALSE,3.51425E+14,B-22-16 32DDD1,582951,672,2708,3/14/2023,STANDARD,1200,8.62,OBSERVATION,3/23/2001,35.24025,113.993361
FALSE,3.52835E+14,B-24-17 10CCB,,25,3365,12/1/1964,STANDARD,30,,DOMESTIC,,35.478611,114.091389
FALSE,3.5373E+14,B-26-18 19CBA,208447,429,3151,7/22/2008,STANDARD,580,7,DOMESTIC,8/9/2005,35.625,114.251251
FALSE,3.53826E+14,B-26-17 15CBB,916485,,,,STANDARD,750,16,IRRIGATION,3/28/2014,35.640417,114.096167
FALSE,3.54338E+14,B-27-15 15ACD,,,,,STANDARD,,,STOCK,,35.727222,113.870833
FALSE,3.5091E+14,B-21-14 31CCC2,,152.75,4437.25,7/15/1969,STANDARD,250,6,UNUSED,,35.152778,113.815556
FALSE,3.51058E+14,B-21-16 24DCC,,31.46,4195.54,12/2/1985,STANDARD,,,UNUSED,,35.182778,113.930278
FALSE,3.51534E+14,B-22-17 26CCB,,,,,STANDARD,,,STOCK,,35.259444,114.07
FALSE,3.5162E+14,B-22-15 23CAD,502288,400,3360,1/12/2023,STANDARD,480,8,UNUSED,3/27/1982,35.272251,113.843887
FALSE,3.51815E+14,B-22-16 10CAA,593058,558.3,2716.7,3/23/2023,STANDARD,1020,18,UNUSED,8/4/2002,35.304222,113.966889
FALSE,3.52107E+14,B-23-14 30ACA,582493,,,,STANDARD,225,7,DOMESTIC,10/1/2000,35.351917,113.803583
FALSE,3.52317E+14,B-23-17 15ABB2,631623,57.6,4308.4,2/27/1980,STANDARD,150,,UNUSED,,35.388056,114.081944
FALSE,3.52632E+14,B-24-17 30CAB,,,,,STANDARD,,,STOCK,,35.442222,114.138056
FALSE,3.53007E+14,B-24-17 01ABB,,517,2523,2/27/2018,STANDARD,,,UNUSED,,35.501917,114.048083
FALSE,3.53802E+14,B-26-18 16CCC,905101,,,,STANDARD,775,8.63,DOMESTIC,6/30/2006,35.634,114.217861
FALSE,3.54314E+14,B-27-17 13CCC,916699,373.7,2401.3,2/26/2018,STANDARD,790,20,UNUSED,1/24/2015,35.720667,114.059917
FALSE,3.55033E+14,B-28-19 03DBB,917550,,,,STANDARD,21,8.5,UNUSED,11/24/2014,35.842528,114.299167
FALSE,3.51844E+14,B-22-16 01DCC,606422,461.9,2772.1,1/11/2006,STANDARD,595,18,STOCK,10/1/1974,35.31225,113.930833
FALSE,3.52658E+14,B-24-14 19CAA,919684,850,2450,7/15/2016,STANDARD,1240,8.63,UNUSED,7/15/2016,35.449583,113.809278
FALSE,3.52731E+14,B-24-18 24BA,,,,,STANDARD,,,STOCK,,35.458611,114.156111
FALSE,3.53338E+14,B-25-17 13AAA,519151,292,2506,2/9/2006,STANDARD,400,8.62,DOMESTIC,10/17/1987,35.560361,114.042833
FALSE,3.5085E+14,B-20-15 04BD,631353,,,,STANDARD,165,,STOCK,,35.147222,113.870278
FALSE,3.51103E+14,B-21-16 24CDA,631346,26,4164,3/11/1980,STANDARD,85,6,UNUSED,,35.184167,113.931944
FALSE,3.51702E+14,B-22-16 15CCC,612657,558.3,2727.8,2/13/2018,STANDARD,1000,20,PUBLIC SUPPLY,2/1/1970,35.284111,113.974278
FALSE,3.53041E+14,B-25-16 31ACC,593273,,,,STANDARD,530,,DOMESTIC,,35.511389,114.033056
FALSE,3.53853E+14,B-26-17 09DCC,223539,301.8,2478.2,2/28/2018,STANDARD,750,16,IRRIGATION,7/3/2014,35.648,114.104861
FALSE,3.54233E+14,B-27-17 19CCA2,600504,500.9,2581.1,3/23/2023,STANDARD,640,12,STOCK,8/1/1965,35.709056,114.145056
FALSE,3.54352E+14,B-27-15 15AAC,,,,,STANDARD,,,STOCK,,35.731111,113.8675
FALSE,3.54629E+14,B-28-16 34ACB,526047,97.3,4217.7,2/8/2018,STANDARD,144,5.5,STOCK,10/3/1989,35.775196,113.978363
FALSE,3.51152E+14,B-21-15 17DDC,505193,0,4130,1/12/2023,STANDARD,520,6,UNUSED,9/20/1983,35.197778,113.890556
